iter	Passed	Remaining
1217	7168	1659
1218	7173	1653
1219	7179	1647
1220	7184	1641
1221	7189	1635
1222	7195	1629
1223	7200	1623
1224	7205	1617
1225	7211	1611
1226	7216	1605
1227	7221	1599
1228	7227	1593
1229	7232	1587
1230	7237	1581
1231	7242	1575
1232	7248	1569
1233	7252	1563
1234	7258	1557
1235	7263	1551
1236	7268	1545
1237	7273	1539
1238	7279	1533
1239	7284	1527
1240	7290	1521
1241	7295	1515
1242	7301	1509
1243	7306	1503
1244	7310	1497
1245	7315	1491
1246	7320	1485
1247	7326	1479
1248	7331	1473
1249	7336	1467
1250	7341	1461
1251	7347	1455
1252	7352	1449
1253	7358	1443
1254	7363	1437
1255	7368	1431
1256	7374	1425
1257	7379	1419
1258	7385	1413
1259	7390	1407
1260	7395	1401
1261	7400	1395
1262	7405	1389
1263	7410	1383
1264	7416	1377
1265	7421	1371
1266	7427	1365
1267	7432	1359
1268	7437	1353
1269	7443	1347
1270	7448	1342
1271	7454	1336
1272	7459	1330
1273	7465	1324
1274	7470	1318
1275	7475	1312
1276	7481	1306
1277	7487	1300
1278	7493	1294
1279	7498	1288
1280	7503	1282
1281	7509	1277
1282	7515	1271
1283	7521	1265
1284	7527	1259
1285	7533	1253
1286	7538	1247
1287	7545	1241
1288	7551	1236
1289	7558	1230
1290	7564	1224
1291	7570	1218
1292	7576	1212
1293	7581	1206
1294	7586	1201
1295	7592	1195
1296	7598	1189
1297	7604	1183
1298	7609	1177
1299	7614	1171
1300	7620	1165
1301	7625	1159
1302	7631	1153
1303	7638	1148
1304	7645	1142
1305	7651	1136
1306	7657	1130
1307	7664	1125
1308	7671	1119
1309	7677	1113
1310	7684	1107
1311	7691	1102
1312	7697	1096
1313	7704	1090
1314	7711	1084
1315	7718	1079
1316	7725	1073
1317	7731	1067
1318	7738	1061
1319	7745	1056
1320	7751	1050
1321	7758	1044
1322	7765	1038
1323	7772	1033
1324	7779	1027
1325	7785	1021
1326	7792	1015
1327	7799	1010
1328	7806	1004
1329	7813	998
1330	7820	992
1331	7826	987
1332	7833	981
1333	7839	975
1334	7846	969
1335	7853	964
1336	7860	958
1337	7866	952
1338	7873	946
1339	7879	940
1340	7886	935
1341	7892	929
1342	7899	923
1343	7905	917
1344	7912	911
1345	7918	906
1346	7925	900
1347	7931	894
1348	7937	888
1349	7944	882
1350	7950	876
1351	7957	871
1352	7964	865
1353	7969	859
1354	7974	853
1355	7980	847
1356	7985	841
1357	7990	835
1358	7995	829
1359	8000	823
1360	8006	817
1361	8011	811
1362	8016	805
1363	8021	799
1364	8027	793
1365	8032	787
1366	8037	781
1367	8042	776
1368	8047	770
1369	8052	764
1370	8058	758
1371	8063	752
1372	8068	746
1373	8074	740
1374	8079	734
1375	8084	728
1376	8090	722
1377	8095	716
1378	8100	710
1379	8105	704
1380	8110	698
1381	8116	692
1382	8121	687
1383	8126	681
1384	8131	675
1385	8136	669
1386	8142	663
1387	8147	657
1388	8152	651
1389	8158	645
1390	8163	639
1391	8168	633
1392	8173	627
1393	8178	621
1394	8184	616
1395	8189	610
1396	8194	604
1397	8199	598
1398	8205	592
1399	8210	586
1400	8215	580
1401	8221	574
1402	8226	568
1403	8231	562
1404	8237	556
1405	8242	551
1406	8248	545
1407	8253	539
1408	8259	533
1409	8260	527
1410	8266	521
1411	8271	515
1412	8278	509
1413	8284	503
1414	8290	497
1415	8295	492
1416	8301	486
1417	8308	480
1418	8316	474
1419	8322	468
1420	8327	462
1421	8333	457
1422	8339	451
1423	8345	445
1424	8350	439
1425	8356	433
1426	8360	427
1427	8366	421
1428	8372	415
1429	8378	410
1430	8384	404
1431	8390	398
1432	8396	392
1433	8402	386
1434	8408	380
1435	8414	375
1436	8421	369
1437	8440	363
1438	8446	358
1439	8452	352
1440	8458	346
1441	8463	340
1442	8479	334
1443	8485	329
1444	8502	323
1445	8508	317
1446	8513	311
1447	8519	305
1448	8525	300
1449	8530	294
1450	8536	288
1451	8541	282
1452	8547	276
1453	8552	270
1454	8558	264
1455	8564	258
1456	8569	252
1457	8574	247
1458	8580	241
1459	8585	235
1460	8591	229
1461	8597	223
1462	8602	217
1463	8608	211
1464	8613	205
1465	8618	199
1466	8623	193
1467	8629	188
1468	8637	182
1469	8642	176
1470	8647	170
1471	8652	164
